Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
HIV/AIDS,Fever,Sore throat,Swollen lymph nodes,Fatigue,Night sweats
Malaria,Fever,Chills,Headache,Nausea,Muscle aches
Dengue Fever,High fever,Severe headache,Pain behind eyes,Joint/muscle pain,Rash
Typhoid Fever,Prolonged high fever,Fatigue,Headache,Nausea,Abdominal pain
Lyme Disease,Bullseye rash,Fever,Chills,Fatigue,Body aches
Celiac Disease,Diarrhea,Fatigue,Weight loss,Bloating/gas,Abdominal pain
Irritable Bowel Syndrome (IBS),Abdominal pain,Cramping,Bloating,Gas,Diarrhea or constipation
Crohn's Disease,Abdominal pain,Severe diarrhea,Fatigue,Weight loss,Malnutrition
Rheumatoid Arthritis,Tender/swollen joints,Joint stiffness,Fatigue,Fever,Loss of appetite
ACTH Deficiency,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
APECED Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Aarskog syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Aase syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Abdominal aortic aneurysm,dry skin,mood swings,blood in stool,numbness,stiffness
Acanthamoeba keratitis,fever,chills,fatigue,body aches,headache
Acanthocheilonemiasis,loss of balance,heartburn,itching,confusion,runny nose
Acanthocytosis,burning sensation,heat intolerance,itching,blisters,watering eyes
Acanthosis Nigricans,chest pain,foul smell,fever,fainting,seizures
Acanthosis nigricans,seizures,restlessness,chest pain,skin rash,yellowish skin
Achalasia,restlessness,confusion,cough,runny nose,hair loss
Achard Thiers Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Achilles tendinopathy,pale skin,burning sensation,joint pain,spinning sensation,lethargy
Achondrogenesis,tinnitus,night sweats,restlessness,chills,palpitations
Achondroplasia,weight loss,indigestion,palpitations,diarrhea,redness
"Acidemia, Isovaleric",hoarseness,diarrhea,cough,vomiting,fainting
"Acidemia, Methylmalonic",chest pain,memory loss,dry skin,stiffness,tremor
"Acidemia, Propionic",earache,memory loss,pain,diarrhea,dry skin
Acne vulgaris,dry skin,neck pain,mood swings,hunger,dizziness
Acoustic neuroma,headache,dizziness,confusion,seizures,numbness
Acrocallosal Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Acrodermatitis Enteropathica,fever,chills,fatigue,body aches,headache
Acrodysostosis,fainting,heat intolerance,skin rash,redness,palpitations
Acromegaly,fever,insomnia,hair loss,pale skin,hallucinations
Acromesomelic Dysplasia,numbness,blood in urine,shivering,stiffness,yellowish skin
Acromicric Dysplasia,chest pain,pale skin,hair loss,weight loss,stiffness
Actinomycosis,lump,dizziness,redness,hunger,blood in stool
Acute Endocarditis,fever,chills,fatigue,body aches,headache
Acute bronchitis,fever,chills,fatigue,body aches,headache
Acute cholecystitis,fever,chills,fatigue,body aches,headache
Acute disseminated encephalomyelitis,fever,chills,fatigue,body aches,headache
Acute glomerulonephritis,fever,chills,fatigue,body aches,headache
Acute hepatitis,fever,chills,fatigue,body aches,headache
Acute kidney injury,pain,brittle nails,lump,diarrhea,dark urine
Acute lymphoblastic leukaemia,dry skin,weight loss,burning sensation,blood in urine,cough
Acute lymphoblastic leukemia,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Acute myeloid leukaemia,pale skin,pain,bloating,confusion,brittle nails
Acute myeloid leukemia,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Acute pancreatitis,fever,chills,fatigue,body aches,headache
Acute respiratory infection,fever,chills,fatigue,body aches,headache
Acute stress disorder,diarrhea,confusion,back pain,mood swings,heartburn
Acute tubular necrosis,dry mouth,heartburn,fatigue,palpitations,loss of appetite
Adams Oliver Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Addison's disease,hunger,fainting,hair loss,skin rash,swelling
Adenocarcinoma of the lung,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Adenomyosis,hunger,frequent urination,bloating,cough,heat intolerance
Adenovirus,fever,chills,fatigue,body aches,headache
Adie Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Adjustment disorder,abdominal pain,hunger,difficulty swallowing,foul smell,weakness
Adrenal Hyperplasia,hallucinations,memory loss,numbness,fatigue,delusions
Adrenal crisis,mood swings,lump,indigestion,confusion,blood in stool
Adrenal insufficiency,anxiety,abdominal pain,blood in stool,cold intolerance,sore throat
Adrenocortical carcinoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Adrenoleukodystrophy,tinnitus,difficulty swallowing,stiffness,dry mouth,swelling
Adrenomyeloneuropathy,headache,dizziness,confusion,seizures,numbness
Afibrinogenemia,swelling,redness,hoarseness,difficulty swallowing,heartburn
African tick-bite fever,fever,chills,fatigue,body aches,headache
African trypanosomiasis,blurred vision,shortness of breath,thirst,fainting,hallucinations
Agammaglobulinemias,indigestion,night sweats,mood swings,lump,nausea
Agenesis of Corpus Callosum,gas,blurred vision,brittle nails,tinnitus,seizures
Agnosia,chills,stiffness,dizziness,numbness,weakness
Agoraphobia,blood in stool,palpitations,blood in urine,joint pain,headache
Agranulocytosis,loss of appetite,itching,cough,delusions,insomnia
Ahumada Del Castillo Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Aicardi Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Alagille Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Alagille syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Albinism,back pain,indigestion,sweating,weight loss,chest pain
Alcohol-related liver disease,chest pain,memory loss,abdominal pain,delusions,swelling
Alcoholic liver disease,chest pain,fatigue,chills,shortness of breath,memory loss
Alexander's Disease,difficulty swallowing,gas,chest pain,vomiting,abdominal pain
Alkaptonuria,hair loss,chills,thirst,pain,confusion
Allan Herndon Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Allergic rhinitis,fever,chills,fatigue,body aches,headache
Allergies,nausea,brittle nails,neck pain,mood swings,diarrhea
Alopecia,back pain,cough,delusions,blisters,dizziness
Alopecia areata,delusions,frequent urination,joint pain,heartburn,pale skin
Alpers Disease,foul smell,shivering,heat intolerance,night sweats,sweating
Alpha-1 antitrypsin deficiency,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Alpha-1-Antitrypsin Deficiency,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Alport Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Alport syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Alstrom Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Alternating Hemiplegia of Childhood,hallucinations,numbness,pain,weight loss,palpitations
Alveolitis,fever,chills,fatigue,body aches,headache
Alzheimer's disease,shivering,headache,hunger,chest pain,sweating
Amblyopia,hunger,headache,heat intolerance,palpitations,dry mouth
Amebiasis,shivering,heat intolerance,palpitations,pain,blisters
Ameloblastoma,confusion,fainting,headache,shivering,diarrhea
Amelogenesis Imperfecta,lethargy,headache,pale skin,vomiting,heartburn
Amniotic Band Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Ampullary cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Amyloidosis,constipation,abdominal pain,itching,numbness,hallucinations
Amyotrophic Lateral Sclerosis,lethargy,chest pain,watering eyes,fatigue,frequent urination
Amyotrophic lateral sclerosis,tinnitus,sweating,abdominal pain,heartburn,hunger
Anal cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Anal fissure,frequent urination,fatigue,shivering,hallucinations,night sweats
Anal fistula,fainting,runny nose,back pain,blood in stool,sweating
Anaphylaxis,constipation,cough,swelling,delusions,frequent urination
Anaplasmosis,difficulty swallowing,night sweats,burning sensation,fever,nausea
Anaplastic large cell lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Anaplastic thyroid cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Andersen Disease,fatigue,shivering,constipation,loss of appetite,dizziness
Androgenetic alopecia,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Anemia of chronic disease,difficulty swallowing,swelling,dark urine,joint pain,chest pain
"Anemia, Blackfan Diamond",hair loss,lethargy,pain,difficulty swallowing,hoarseness
"Anemia, Fanconi's",spinning sensation,chills,blood in stool,blisters,nausea
Anencephaly,sweating,yellowish skin,foul smell,weakness,chest pain
Aneurysm,memory loss,dry mouth,inflammation,anxiety,runny nose
Angelman Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Angelman syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Angina,heartburn,delusions,insomnia,hair loss,earache
Angina pectoris,numbness,runny nose,weight loss,gas,constipation
Angioedema,hoarseness,dark urine,muscle aches,dry mouth,fever
Angiosarcoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Angiostrongyliasis,yellowish skin,restlessness,numbness,foul smell,nausea
Aniridia,fainting,runny nose,skin rash,blood in urine,inflammation
Anisakiasis,heartburn,night sweats,lethargy,fatigue,confusion
Ankle avulsion fracture,stiffness,earache,heartburn,anxiety,difficulty swallowing
Ankle sprain,blisters,thirst,dizziness,lump,earache
Ankylosing spondylitis,fever,chills,fatigue,body aches,headache
Ankylostomiasis,blurred vision,yellowish skin,chills,itching,redness
Anodontia,blood in urine,restlessness,delusions,hunger,gas
Anorexia nervosa,dry mouth,dark urine,mood swings,memory loss,confusion
Anthrax,shivering,night sweats,fever,muscle aches,blood in urine
Antiphospholipid Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Antiphospholipid syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Antisocial personality disorder,dry skin,earache,joint pain,watering eyes,blood in stool
Antithrombin III Deficiency,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Antithrombin III deficiency,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Antley Bixler Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Anxiety disorders,hoarseness,lethargy,dry skin,hallucinations,memory loss
Aortic dissection,constipation,weight loss,chills,indigestion,blood in urine
Aortic regurgitation,weight loss,gas,indigestion,frequent urination,fever
Aortic stenosis,heartburn,muscle aches,fainting,watering eyes,difficulty swallowing
Apert Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Apert syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Aplasia Cutis Congenita,blurred vision,skin rash,blood in stool,sore throat,pain
Aplastic anaemia,pain,abdominal pain,lethargy,tremor,blisters
Aplastic anemia,diarrhea,swelling,blood in stool,tremor,fatigue
"Apnea, Sleep",redness,numbness,lethargy,swelling,loss of appetite
Appendicitis,fever,chills,fatigue,body aches,headache
Apraxia,fatigue,loss of balance,dry skin,hoarseness,heat intolerance
Arachnoid Cysts,cough,shivering,yellowish skin,fainting,muscle aches
Arachnoiditis,fever,chills,fatigue,body aches,headache
Arginase Deficiency,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Arginino Succinic Aciduria,lethargy,inflammation,night sweats,memory loss,frequent urination
Arnold Chiari Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Arnold-Chiari malformation,nausea,tremor,shortness of breath,lethargy,constipation
Arterial thrombosis,cough,weight loss,blurred vision,spinning sensation,abdominal pain
Arthritis,fever,chills,fatigue,body aches,headache
Asbestosis,loss of balance,chest pain,restlessness,frequent urination,bruising
Ascariasis,confusion,chills,earache,fainting,weakness
Aseptic meningitis,fever,chills,fatigue,body aches,headache
Asperger's Syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Aspergillosis,blood in stool,frequent urination,spinning sensation,burning sensation,dizziness
Aspiration pneumonia,cough,shortness of breath,chest pain,wheezing,sore throat
Astigmatism,night sweats,sweating,seizures,nausea,back pain
Astrocytoma,skin rash,heat intolerance,weakness,weight loss,hair loss
Ataxia,hunger,hallucinations,itching,chills,shivering
Ataxia telangiectasia,heartburn,headache,redness,cold intolerance,loss of appetite
Atherosclerosis,restlessness,dark urine,hair loss,earache,sore throat
Athlete's foot,shortness of breath,bloating,anxiety,weight loss,night sweats
Atopic eczema,skin rash,itching,redness,blisters,swelling
Atrial fibrillation,chest pain,palpitations,shortness of breath,fatigue,dizziness
Atrial flutter,fever,chills,fatigue,body aches,headache
Atrial septal defect,chest pain,palpitations,shortness of breath,fatigue,dizziness
Atrioventricular block,hunger,chest pain,spinning sensation,cough,blisters
Attention deficit hyperactivity disorder,sore throat,indigestion,skin rash,runny nose,blood in stool
Auditory processing disorder,pale skin,hair loss,blood in urine,swelling,hallucinations
Autism,hallucinations,confusion,blood in stool,anxiety,nausea
Autism spectrum disorder,palpitations,seizures,fainting,chills,runny nose
Autoimmune hemolytic anemia,bruising,diarrhea,pale skin,sore throat,watering eyes
Autonomic neuropathy,headache,dizziness,confusion,seizures,numbness
Avascular necrosis,chills,loss of appetite,bruising,joint pain,confusion
Avoidant personality disorder,indigestion,spinning sensation,sore throat,memory loss,dark urine
Avoidant/Restrictive Food Intake Disorder,yellowish skin,bloating,itching,tinnitus,weight loss
Babesiosis,memory loss,back pain,foul smell,indigestion,seizures
Bacillary angiomatosis,mood swings,loss of balance,insomnia,tremor,chest pain
Bacterial Vaginosis,fever,chills,fatigue,body aches,headache
Bacterial pneumonia,fever,chills,fatigue,body aches,headache
Baker's Cyst,weakness,swelling,hoarseness,brittle nails,memory loss
Balanitis,fever,chills,fatigue,body aches,headache
Balantidiasis,nausea,stiffness,redness,hunger,yellowish skin
Bardet-Biedl syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Barmah Forest virus,fever,chills,fatigue,body aches,headache
Basal cell carcinoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Batten disease,anxiety,confusion,loss of balance,diarrhea,cold intolerance
Becker muscular dystrophy,diarrhea,nausea,insomnia,weakness,hallucinations
Beckwith-Wiedemann syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Behcet syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Behcet's disease,vomiting,brittle nails,gas,weight loss,anxiety
Bejel,frequent urination,dark urine,dry skin,dizziness,shivering
Bell's palsy,headache,dizziness,confusion,seizures,numbness
Benign paroxysmal positional vertigo,chest pain,delusions,heartburn,redness,stiffness
Benign prostatic hyperplasia,cold intolerance,blood in urine,shortness of breath,joint pain,seizures
Beriberi,bloating,dry skin,insomnia,cold intolerance,night sweats
Biliary atresia,shortness of breath,headache,pale skin,thirst,chest pain
Binge eating disorder,nausea,lethargy,hair loss,delusions,dark urine
Bipolar disorder,restlessness,pain,dry skin,bloating,swelling
Bird flu,fever,chills,fatigue,body aches,headache
Bladder cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Bladder stones,back pain,skin rash,cough,headache,hair loss
Blastomycosis,weakness,hoarseness,pale skin,chills,blisters
Blepharitis,fever,chills,fatigue,body aches,headache
Blood clots,weight loss,memory loss,burning sensation,skin rash,heat intolerance
Bloom syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Blue rubber bleb nevus syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Body dysmorphic disorder,bloating,thirst,dry skin,earache,heat intolerance
Bone cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Borderline personality disorder,lethargy,dry mouth,hunger,earache,neck pain
Bornholm disease,restlessness,inflammation,swelling,sweating,hair loss
Botulism,blisters,joint pain,dizziness,vomiting,muscle aches
Boutonneuse fever,fever,chills,fatigue,body aches,headache
Bovine spongiform encephalopathy,yellowish skin,watering eyes,anxiety,cough,sweating
Bowel cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Bowel polyps,nausea,vomiting,abdominal pain,diarrhea,loss of appetite
Brain abscess,headache,dizziness,confusion,seizures,numbness
Brain aneurysm,headache,dizziness,confusion,seizures,numbness
Brain tumor,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Brain tumour,headache,dizziness,confusion,seizures,numbness
Breast abscess,redness,diarrhea,frequent urination,pale skin,heartburn
Breast cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Bronchiectasis,cough,shortness of breath,chest pain,wheezing,sore throat
Bronchiolitis,fever,chills,fatigue,body aches,headache
Brucellosis,palpitations,tremor,hunger,dizziness,muscle aches
Buerger disease,hallucinations,confusion,brittle nails,inflammation,fainting
Buerger's disease,shortness of breath,cough,headache,blood in urine,sore throat
Bulimia,back pain,chest pain,abdominal pain,blood in stool,thirst
Bulimia nervosa,seizures,back pain,spinning sensation,fainting,neck pain
Bullous pemphigoid,anxiety,numbness,pale skin,itching,constipation
Bundle branch block,redness,back pain,stiffness,dizziness,neck pain
Bunion,weight loss,watering eyes,pain,fainting,blood in urine
Burkitt lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Burkitt's lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Burning mouth syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Bursitis,fever,chills,fatigue,body aches,headache
Buruli ulcer,nausea,vomiting,abdominal pain,diarrhea,loss of appetite
Campylobacter,headache,indigestion,brittle nails,cold intolerance,numbness
Canavan disease,itching,bloating,tinnitus,pale skin,joint pain
Cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Candidiasis,abdominal pain,hair loss,sweating,pain,palpitations
Capillariasis,heartburn,confusion,neck pain,blurred vision,tinnitus
Carbon monoxide poisoning,shivering,confusion,abdominal pain,foul smell,swelling
Carbuncle,night sweats,vomiting,dizziness,heat intolerance,shortness of breath
Carcinoid tumor,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Cardiomyopathy,chest pain,palpitations,shortness of breath,fatigue,dizziness
Carpal tunnel syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Cat eye syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Cat-scratch disease,abdominal pain,indigestion,earache,chills,insomnia
Cataract,mood swings,dry mouth,blisters,fatigue,bloating
Catarrh,fever,neck pain,hallucinations,brittle nails,weight loss
Celiac disease,neck pain,spinning sensation,gas,blood in urine,thirst
Cellulitis,fever,chills,fatigue,body aches,headache
Cerebral palsy,headache,dizziness,confusion,seizures,numbness
Cervical cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Cervical spondylosis,lethargy,heartburn,redness,chest pain,blood in urine
Cervicitis,fever,chills,fatigue,body aches,headache
Chagas disease,shortness of breath,restlessness,nausea,heartburn,runny nose
Chalazion,foul smell,cough,pain,hoarseness,dry mouth
Charcot-Marie-Tooth disease,swelling,loss of balance,lethargy,seizures,burning sensation
Chediak-Higashi syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Chest infection,fever,chills,fatigue,body aches,headache
Chikungunya,tremor,joint pain,lethargy,weakness,loss of appetite
Chlamydia,dry mouth,neck pain,delusions,hoarseness,insomnia
Cholangiocarcinoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Cholangitis,fever,chills,fatigue,body aches,headache
Cholecystitis,fever,chills,fatigue,body aches,headache
Choledocholithiasis,thirst,blisters,restlessness,seizures,dry mouth
Cholelithiasis,frequent urination,heartburn,difficulty swallowing,hoarseness,vomiting
Cholera,dizziness,shivering,earache,memory loss,blood in urine
Cholesteatoma,sweating,seizures,frequent urination,anxiety,back pain
"Cholesterol, High",swelling,weakness,pain,hallucinations,hair loss
Chondrosarcoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Choriocarcinoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Choroideremia,swelling,itching,constipation,insomnia,lump
Chronic bronchitis,fever,chills,fatigue,body aches,headache
Chronic fatigue syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Chronic glomerulonephritis,fever,chills,fatigue,body aches,headache
Chronic hepatitis,fever,chills,fatigue,body aches,headache
Chronic inflammatory demyelinating polyneuropathy,headache,dizziness,confusion,seizures,numbness
Chronic kidney disease,difficulty swallowing,indigestion,stiffness,swelling,pain
Chronic lymphocytic leukemia,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Chronic myeloid leukemia,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Chronic obstructive pulmonary disease,cough,insomnia,skin rash,redness,swelling
Chronic pancreatitis,fever,chills,fatigue,body aches,headache
Churg-Strauss syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Cirrhosis,fever,loss of balance,numbness,chills,seizures
Cleft lip and palate,abdominal pain,weight loss,gas,watering eyes,runny nose
Clonorchiasis,cold intolerance,abdominal pain,seizures,swelling,night sweats
Clostridium difficile,foul smell,shivering,hair loss,pale skin,itching
Cluster headache,watering eyes,lump,bloating,fatigue,night sweats
Coarctation of the aorta,inflammation,loss of appetite,brittle nails,blurred vision,insomnia
Coats' disease,hunger,abdominal pain,dark urine,night sweats,chest pain
Coccidioidomycosis,pain,confusion,anxiety,spinning sensation,chills
Cockayne syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Coeliac disease,spinning sensation,blood in urine,bruising,burning sensation,blood in stool
Coffin-Lowry syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Cold sore,memory loss,foul smell,blurred vision,tremor,mood swings
Colic,thirst,back pain,nausea,runny nose,memory loss
Color blindness,shortness of breath,cold intolerance,pale skin,lethargy,lump
Colorado tick fever,fever,chills,fatigue,body aches,headache
Colorectal cancer,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Common cold,pain,memory loss,blurred vision,constipation,sore throat
Complex regional pain syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Concussion,shortness of breath,cough,itching,inflammation,back pain
Conduct disorder,chills,sweating,hoarseness,heat intolerance,dry skin
Congenital adrenal hyperplasia,vomiting,skin rash,weakness,heat intolerance,watering eyes
Congenital heart disease,chest pain,palpitations,shortness of breath,fatigue,dizziness
Conjunctivitis,fever,chills,fatigue,body aches,headache
Conn's syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Constipation,hair loss,restlessness,neck pain,shivering,abdominal pain
Contact dermatitis,fever,chills,fatigue,body aches,headache
Conversion disorder,mood swings,lethargy,foul smell,earache,restlessness
Cor pulmonale,numbness,nausea,swelling,earache,mood swings
Corneal ulcer,nausea,vomiting,abdominal pain,diarrhea,loss of appetite
Coronary heart disease,chest pain,palpitations,shortness of breath,fatigue,dizziness
Coronavirus,fever,chills,fatigue,body aches,headache
Costochondritis,fever,chills,fatigue,body aches,headache
Cowpox,watering eyes,difficulty swallowing,cough,blood in stool,blood in urine
Craniopharyngioma,nausea,numbness,redness,memory loss,night sweats
Craniosynostosis,insomnia,memory loss,tremor,constipation,dry mouth
Creutzfeldt-Jakob disease,numbness,yellowish skin,mood swings,blood in urine,headache
Cri du chat syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Crimean-Congo hemorrhagic fever,fever,chills,fatigue,body aches,headache
Crohn's disease,gas,watering eyes,constipation,blurred vision,shortness of breath
Croup,hoarseness,foul smell,nausea,delusions,neck pain
Cryptococcosis,joint pain,dry skin,foul smell,thirst,lump
Cryptosporidiosis,delusions,redness,mood swings,fever,hunger
Cushing's syndrome,developmental delay,intellectual disability,physical abnormalities,vision problems,hearing loss
Cutaneous T-cell lymphoma,unexplained weight loss,fatigue,persistent pain,lump,night sweats
Cyclosporiasis,fever,joint pain,chills,tremor,weakness
Cystic fibrosis,hoarseness,bruising,fatigue,shortness of breath,watering eyes
Cysticercosis,swelling,spinning sensation,muscle aches,vomiting,sweating
Cystinosis,tinnitus,back pain,neck pain,burning sensation,fatigue
Cystinuria,headache,gas,hoarseness,weight loss,indigestion
Cystitis,fever,chills,fatigue,body aches,headache
Cytomegalovirus,fever,chills,fatigue,body aches,headache
